#separator:Tab
#html:true
#tags column:3
#columns:Front	Back	Tags
"<span lang=""ja"" style=""font-size:32px"">のんびり</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">のんびり</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adv] <span lang=""ja"">のんびり</span></b><br>thong thả, thư giãn</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">のんびりする</span></b><br>thong thả, thư giãn</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. のんびり（と）＋V：thong thả làm</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">休日は家でのんびり過ごします。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">きゅうじつはいえでのんびりすごします。</div></details><div style=""font-size:17px;margin-top:4px"">Ngày nghỉ tôi thong thả ở nhà.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. のんびりする：thư giãn</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">温泉でのんびりしました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">おんせんでのんびりしました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi thư giãn ở suối nước nóng.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Dạng động từ: のんびりする.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">海岸線</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">かいがんせん</span><span style=""opacity:.68"">HẢI NGẠN TUYẾN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">海岸線</span></b><br>đường bờ biển</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 海岸線に沿って：dọc theo đường bờ biển</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">列車は海岸線に沿って走ります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">れっしゃはかいがんせんにそってはしります。</div></details><div style=""font-size:17px;margin-top:4px"">Tàu chạy dọc theo đường bờ biển.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">渓谷</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">けいこく</span><span style=""opacity:.68"">KHÊ CỐC</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">渓谷</span></b><br>thung lũng hẹp có sông/suối, hẻm núi</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 渓谷を流れる：chảy qua hẻm núi</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">渓谷を流れる川がきれいです。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">けいこくをながれるかわがきれいです。</div></details><div style=""font-size:17px;margin-top:4px"">Con sông chảy qua hẻm núi rất đẹp.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Không phải “đèo ải”.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">トロッコ列車</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">トロッコれっしゃ</span><span style=""opacity:.68"">LIỆT XA</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">トロッコ列車</span></b><br>tàu kiểu xe goòng, thường dùng ngắm cảnh du lịch</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. トロッコ列車に乗る：đi tàu ngắm cảnh kiểu xe goòng</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">トロッコ列車に乗って景色を楽しみます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">トロッコれっしゃにのってけしきをたのしみます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi đi tàu kiểu xe goòng để ngắm cảnh.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">SL</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">エスエル</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">SL</span></b><br>đầu máy/tàu hơi nước; viết tắt Steam Locomotive</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. SLに乗る：đi tàu hơi nước</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">初めてSLに乗りました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">はじめてエスエルにのりました。</div></details><div style=""font-size:17px;margin-top:4px"">Lần đầu tiên tôi đi tàu hơi nước.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">製造</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">せいぞう</span><span style=""opacity:.68"">CHẾ TẠO</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">製造</span></b><br>sự sản xuất, chế tạo</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">製造する</span></b><br>sản xuất, chế tạo</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 工場でNを製造する：sản xuất N tại nhà máy</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">この工場では車を製造しています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">このこうじょうではくるまをせいぞうしています。</div></details><div style=""font-size:17px;margin-top:4px"">Nhà máy này sản xuất ô tô.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">鉄</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">てつ</span><span style=""opacity:.68"">THIẾT</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">鉄</span></b><br>sắt</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 鉄でできている：được làm bằng sắt</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">この橋は鉄でできています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">このはしはてつでできています。</div></details><div style=""font-size:17px;margin-top:4px"">Cây cầu này được làm bằng sắt.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">扇風機</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">せんぷうき</span><span style=""opacity:.68"">PHIẾN PHONG CƠ</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">扇風機</span></b><br>quạt điện</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 扇風機をつける：bật quạt</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">暑いので扇風機をつけます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">あついのでせんぷうきをつけます。</div></details><div style=""font-size:17px;margin-top:4px"">Vì nóng nên tôi bật quạt.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">石炭</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">せきたん</span><span style=""opacity:.68"">THẠCH THÁN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">石炭</span></b><br>than đá</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 石炭を燃やす：đốt than đá</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">昔の列車は石炭を燃やして走りました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">むかしのれっしゃはせきたんをもやしてはしりました。</div></details><div style=""font-size:17px;margin-top:4px"">Tàu thời xưa chạy bằng cách đốt than đá.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19
"<span lang=""ja"" style=""font-size:32px"">燃やす</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">もやす</span><span style=""opacity:.68"">NHIÊN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">燃やす</span></b><br>đốt, làm cháy</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nを燃やす：đốt N</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">ここでごみを燃やしてはいけません。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ここでごみをもやしてはいけません。</div></details><div style=""font-size:17px;margin-top:4px"">Không được đốt rác ở đây.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> 燃やす: đốt thứ gì; 燃える: cháy.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">入り込む</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">はいりこむ</span><span style=""opacity:.68"">NHẬP</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">入り込む</span></b><br>lọt vào, đi sâu vào bên trong</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 場所に入り込む：lọt vào đâu</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">窓から虫が部屋に入り込みました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">まどからむしがへやにはいりこみました。</div></details><div style=""font-size:17px;margin-top:4px"">Côn trùng lọt vào phòng qua cửa sổ.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Giữ đủ đuôi 入り込む; 込 không có âm Hán–Việt thông dụng.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 10 · trang 19<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_10 Nguon::Trang_19 Co_luu_y
