#separator:Tab
#html:true
#tags column:3
#columns:Front	Back	Tags
"<span lang=""ja"" style=""font-size:32px"">快適</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">かいてき</span><span style=""opacity:.68"">KHOÁI THÍCH</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adj-na] <span lang=""ja"">快適（な）</span></b><br>thoải mái, dễ chịu</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 快適な＋N：thoải mái</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">快適な部屋で休みます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">かいてきなへやでやすみます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi nghỉ trong căn phòng thoải mái.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 快適に＋V：một cách thoải mái</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">ここでは快適に暮らせます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ここではかいてきにくらせます。</div></details><div style=""font-size:17px;margin-top:4px"">Ở đây có thể sống thoải mái.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">梅雨</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">つゆ</span><span style=""opacity:.68"">MAI VŨ</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">梅雨</span></b><br>mùa mưa ở Nhật</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 梅雨に入る：bước vào mùa mưa</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">六月に梅雨に入ります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ろくがつにつゆにはいります。</div></details><div style=""font-size:17px;margin-top:4px"">Tháng sáu bắt đầu vào mùa mưa.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">焼ける</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">やける</span><span style=""opacity:.68"">THIÊU</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">焼ける</span></b><br>được nướng chín; bị cháy; bị rám nắng</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 食べ物が焼ける：đồ ăn chín</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">パンが焼けました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">パンがやけました。</div></details><div style=""font-size:17px;margin-top:4px"">Bánh mì đã nướng chín.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 日に焼ける：rám nắng</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">海で日に焼けました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">うみでひにやけました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi bị rám nắng ở biển.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> 焼ける diễn tả vật chín/cháy; 焼く là nướng/đốt thứ gì.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">太陽</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">たいよう</span><span style=""opacity:.68"">THÁI DƯƠNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">太陽</span></b><br>mặt trời</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 太陽が昇る：mặt trời mọc</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">東から太陽が昇ります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ひがしからたいようがのぼります。</div></details><div style=""font-size:17px;margin-top:4px"">Mặt trời mọc từ phía đông.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">今でこそ</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">いまでこそ</span><span style=""opacity:.68"">KIM</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Cụm] <span lang=""ja"">今でこそ</span></b><br>bây giờ thì mới/đúng là… nhưng trước đây…</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 今でこそ～が、昔は…：nay thì… nhưng xưa…</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">今でこそ便利ですが、昔は不便でした。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">いまでこそべんりですが、むかしはふべんでした。</div></details><div style=""font-size:17px;margin-top:4px"">Bây giờ thì tiện lợi, nhưng trước kia rất bất tiện.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Giữ để hiểu bài; không cần mở rộng các cách dùng khác của こそ.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">普及</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">ふきゅう</span><span style=""opacity:.68"">PHỔ CẬP</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">普及</span></b><br>sự phổ biến, phổ cập</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">普及する</span></b><br>trở nên phổ biến, được phổ cập</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 物が普及する：thứ gì trở nên phổ biến</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">スマートフォンが普及しました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">スマートフォンがふきゅうしました。</div></details><div style=""font-size:17px;margin-top:4px"">Điện thoại thông minh đã trở nên phổ biến.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 地域に普及する：phổ biến ở một vùng</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">この機械は農村にも普及しています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">このきかいはのうそんにもふきゅうしています。</div></details><div style=""font-size:17px;margin-top:4px"">Máy này cũng đã phổ biến ở nông thôn.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">しのぐ</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">しのぐ</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">しのぐ</span></b><br>chịu đựng, vượt qua (nóng, lạnh, khó khăn)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 暑さをしのぐ：tránh/chống chọi cái nóng</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">木の下で暑さをしのぎます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">きのしたであつさをしのぎます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi tránh nóng dưới gốc cây.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Trong chủ đề mùa hè, không dịch là “át hẳn/áp đảo”.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">つるす</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">つるす</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">つるす</span></b><br>treo, mắc lên</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 物を場所につるす：treo vật ở đâu</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">窓に風鈴をつるします。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">まどにふうりんをつるします。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi treo chuông gió ở cửa sổ.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">チリンチリン</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">チリンチリン</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adv] <span lang=""ja"">チリンチリン</span></b><br>leng keng, tiếng chuông nhỏ</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. チリンチリンと鳴る：kêu leng keng</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">風鈴がチリンチリンと鳴っています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ふうりんがチリンチリンとなっています。</div></details><div style=""font-size:17px;margin-top:4px"">Chuông gió đang kêu leng keng.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">魔除け</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">まよけ</span><span style=""opacity:.68"">MA TRỪ</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">魔除け</span></b><br>vật/phép xua đuổi điều xấu, trừ tà</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 魔除けのお守り：bùa trừ tà</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">これは魔除けのお守りです。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">これはまよけのおまもりです。</div></details><div style=""font-size:17px;margin-top:4px"">Đây là bùa trừ tà.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">打ち水</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">うちみず</span><span style=""opacity:.68"">ĐẢ THỦY</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">打ち水</span></b><br>việc rảy nước xuống đất cho mát</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">打ち水する</span></b><br>rảy nước xuống đất cho mát</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 庭に打ち水をする：rảy nước ở sân</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">夕方、庭に打ち水をします。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ゆうがた、にわにうちみずをします。</div></details><div style=""font-size:17px;margin-top:4px"">Buổi chiều tôi rảy nước ở sân.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Thường dùng 打ち水をする.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">地面</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">じめん</span><span style=""opacity:.68"">ĐỊA DIỆN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">地面</span></b><br>mặt đất</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 地面に＋V：trên/xuống mặt đất</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">地面に座らないでください。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">じめんにすわらないでください。</div></details><div style=""font-size:17px;margin-top:4px"">Xin đừng ngồi xuống đất.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">まく</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">まく</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">まく</span></b><br>rải, rắc; tưới/rảy (nước)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 場所に水をまく：rảy nước ở đâu</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">庭に水をまきます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">にわにみずをまきます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi tưới nước ở sân.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 種をまく：gieo hạt</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">畑に種をまきます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">はたけにたねをまきます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi gieo hạt ngoài ruộng.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Tài liệu dùng nghĩa 水をまく; không nhầm với 巻く “cuộn”.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">光景</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">こうけい</span><span style=""opacity:.68"">QUANG CẢNH</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">光景</span></b><br>cảnh tượng trước mắt</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 光景が広がる：cảnh tượng trải ra</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">美しい光景が目の前に広がっています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">うつくしいこうけいがめのまえにひろがっています。</div></details><div style=""font-size:17px;margin-top:4px"">Cảnh đẹp trải ra trước mắt.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
"<span lang=""ja"" style=""font-size:32px"">蒸発</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">じょうはつ</span><span style=""opacity:.68"">CHƯNG PHÁT</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">蒸発</span></b><br>sự bay hơi</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">蒸発する</span></b><br>bay hơi</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 水が蒸発する：nước bay hơi</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">暑いので、水がすぐ蒸発します。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">あついので、みずがすぐじょうはつします。</div></details><div style=""font-size:17px;margin-top:4px"">Vì nóng nên nước bay hơi ngay.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 6 · trang 11<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_06 Nguon::Trang_11
