#separator:Tab
#html:true
#tags column:3
#columns:Front	Back	Tags
"<span lang=""ja"" style=""font-size:32px"">同年代</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">どうねんだい</span><span style=""opacity:.68"">ĐỒNG NIÊN ĐẠI</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">同年代</span></b><br>cùng thế hệ, cùng khoảng tuổi</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 人と同年代だ：cùng thế hệ với ai</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">彼は私と同年代です。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">かれはわたしとどうねんだいです。</div></details><div style=""font-size:17px;margin-top:4px"">Anh ấy cùng thế hệ với tôi.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Không nhất thiết bằng đúng tuổi.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">すると</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">すると</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Liên từ] <span lang=""ja"">すると</span></b><br>thế rồi, khi đó thì; nếu vậy thì</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Câu 1。すると、câu 2：rồi một việc xảy ra</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">ドアを開けました。すると、猫が入ってきました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ドアをあけました。すると、ねこがはいってきました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi mở cửa. Thế rồi một con mèo đi vào.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
"<span lang=""ja"" style=""font-size:32px"">返る</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">かえる</span><span style=""opacity:.68"">PHẢN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">返る</span></b><br>trở lại, được trả lại</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nが返る：N được trả lại</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">貸した本が返ってきました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">かしたほんがかえってきました。</div></details><div style=""font-size:17px;margin-top:4px"">Cuốn sách tôi cho mượn đã được trả lại.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 返事が返ってくる：có hồi âm</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">すぐに返事が返ってきました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">すぐにへんじがかえってきました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi nhận được hồi âm ngay.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> 返る: vật/lời đáp trở lại; 帰る: người trở về.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">タメ口</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">タメぐち</span><span style=""opacity:.68"">KHẨU</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">タメ口</span></b><br>cách nói suồng sã, ngang hàng, không dùng kính ngữ</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 人にタメ口で話す：nói suồng sã với ai</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">初対面の人にタメ口で話すのは避けます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">しょたいめんのひとにタメぐちではなすのはさけます。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi tránh nói suồng sã với người mới gặp.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
"<span lang=""ja"" style=""font-size:32px"">違和感</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">いわかん</span><span style=""opacity:.68"">VI HÒA CẢM</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">違和感</span></b><br>cảm giác không tự nhiên, không phù hợp</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nに違和感がある：thấy N có gì không ổn</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">その言い方に違和感があります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">そのいいかたにいわかんがあります。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi thấy cách nói đó không tự nhiên.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
"<span lang=""ja"" style=""font-size:32px"">共通</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">きょうつう</span><span style=""opacity:.68"">CỘNG THÔNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">共通</span></b><br>điểm chung, sự chung nhau</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">共通する</span></b><br>có điểm chung</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 共通の＋N：N chung</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">私たちには共通の趣味があります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">わたしたちにはきょうつうのしゅみがあります。</div></details><div style=""font-size:17px;margin-top:4px"">Chúng tôi có sở thích chung.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. AとBに共通する：chung cho A và B</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">これは日本とベトナムに共通する問題です。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">これはにほんとベトナムにきょうつうするもんだいです。</div></details><div style=""font-size:17px;margin-top:4px"">Đây là vấn đề chung của Nhật Bản và Việt Nam.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
"<span lang=""ja"" style=""font-size:32px"">友人</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">ゆうじん</span><span style=""opacity:.68"">HỮU NHÂN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">友人</span></b><br>bạn bè, người bạn</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 友人と会う：gặp bạn</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">週末に友人と会います。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">しゅうまつにゆうじんとあいます。</div></details><div style=""font-size:17px;margin-top:4px"">Cuối tuần tôi gặp bạn.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Không phải “người thân”.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">対等</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">たいとう</span><span style=""opacity:.68"">ĐỐI ĐẲNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adj-na] <span lang=""ja"">対等（な）</span></b><br>bình đẳng, ngang hàng</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 人と対等に話す：nói chuyện ngang hàng với ai</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">年齢が違っても対等に話せます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ねんれいがちがってもたいとうにはなせます。</div></details><div style=""font-size:17px;margin-top:4px"">Dù khác tuổi vẫn có thể nói chuyện ngang hàng.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
"<span lang=""ja"" style=""font-size:32px"">回答</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">かいとう</span><span style=""opacity:.68"">HỒI ĐÁP</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">回答</span></b><br>câu trả lời, sự trả lời</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">回答する</span></b><br>trả lời (câu hỏi, khảo sát)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 質問に回答する：trả lời câu hỏi</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">質問に回答してください。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">しつもんにかいとうしてください。</div></details><div style=""font-size:17px;margin-top:4px"">Xin hãy trả lời câu hỏi.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 回答を得る：nhận câu trả lời</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">多くの人から回答を得ました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">おおくのひとからかいとうをえました。</div></details><div style=""font-size:17px;margin-top:4px"">Chúng tôi nhận được câu trả lời từ nhiều người.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Khác 解答: giải đáp bài tập/đề thi.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">初対面</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">しょたいめん</span><span style=""opacity:.68"">SƠ ĐỐI DIỆN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">初対面</span></b><br>lần đầu gặp mặt</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 初対面の人：người gặp lần đầu</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">初対面の人には丁寧に話します。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">しょたいめんのひとにはていねいにはなします。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi nói lịch sự với người mới gặp.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 7 · trang 13<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_07 Nguon::Trang_13
