#separator:Tab
#html:true
#tags column:3
#columns:Front	Back	Tags
"<span lang=""ja"" style=""font-size:32px"">なんか</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">なんか</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adv] <span lang=""ja"">なんか</span></b><br>không hiểu sao, có vẻ; như…, chẳng hạn… (khẩu ngữ)</div><div style=""margin:7px 0""><b>[Trợ từ] <span lang=""ja"">なんか</span></b><br>không hiểu sao, có vẻ; như…, chẳng hạn… (khẩu ngữ)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. なんか＋cảm nhận：không hiểu sao…</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">なんか変な音がします。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">なんかへんなおとがします。</div></details><div style=""font-size:17px;margin-top:4px"">Có tiếng gì đó là lạ.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. Nなんか：như N, chẳng hạn N</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">お茶なんかどうですか。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">おちゃなんかどうですか。</div></details><div style=""font-size:17px;margin-top:4px"">Trà chẳng hạn thì sao?</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Nなんか còn có thể mang sắc thái xem nhẹ, tùy ngữ cảnh.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">変</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">へん</span><span style=""opacity:.68"">BIẾN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adj-na] <span lang=""ja"">変（な）</span></b><br>lạ, kỳ lạ, bất thường</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 変な＋N：N kỳ lạ</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">変な夢を見ました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">へんなゆめをみました。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi mơ một giấc mơ kỳ lạ.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. Nが変だ：N có gì bất thường</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">この文は少し変です。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">このぶんはすこしへんです。</div></details><div style=""font-size:17px;margin-top:4px"">Câu này hơi không tự nhiên.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">ふもと</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">ふもと</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">ふもと</span></b><br>chân núi</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 山のふもとに：ở chân núi</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">山のふもとに村があります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">やまのふもとにむらがあります。</div></details><div style=""font-size:17px;margin-top:4px"">Có một ngôi làng ở chân núi.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">～軒</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">～けん</span><span style=""opacity:.68"">HIÊN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Hậu tố] <span lang=""ja"">～軒</span></b><br>từ đếm nhà, cửa hàng, tòa nhà nhỏ</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. số＋軒：… căn/tiệm</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">この村には家が十軒あります。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">このむらにはいえがじゅっけんあります。</div></details><div style=""font-size:17px;margin-top:4px"">Làng này có mười căn nhà.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> 1軒＝いっけん、3軒＝さんげん、6軒＝ろっけん、8軒＝はっけん、何軒＝なんげん. Khác 軒（のき）.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">お参り</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">おまいり</span><span style=""opacity:.68"">THAM</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">お参り</span></b><br>việc đi lễ, cầu nguyện tại đền/chùa</div><div style=""margin:7px 0""><b>[V] <span lang=""ja"">お参りする</span></b><br>đi lễ đền/chùa</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 寺／神社にお参りする：đi lễ chùa/đền</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">正月に神社にお参りします。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">しょうがつにじんじゃにおまいりします。</div></details><div style=""font-size:17px;margin-top:4px"">Tết tôi đi lễ đền.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">村人</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">むらびと</span><span style=""opacity:.68"">THÔN NHÂN</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">村人</span></b><br>dân làng</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 村人が集まる：dân làng tập trung</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">村人が広場に集まりました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">むらびとがひろばにあつまりました。</div></details><div style=""font-size:17px;margin-top:4px"">Dân làng tập trung ở quảng trường.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">平気</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">へいき</span><span style=""opacity:.68"">BÌNH KHÍ</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adj-na] <span lang=""ja"">平気（な）</span></b><br>không sao, không sợ/không bận tâm</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. Nは平気だ：không ngại N</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">私は寒さは平気です。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">わたしはさむさはへいきです。</div></details><div style=""font-size:17px;margin-top:4px"">Tôi không ngại lạnh.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 平気で＋V：thản nhiên làm</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">彼は平気でうそをつきます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">かれはへいきでうそをつきます。</div></details><div style=""font-size:17px;margin-top:4px"">Anh ta thản nhiên nói dối.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">和尚</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">おしょう</span><span style=""opacity:.68"">HÒA THƯỢNG</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[N] <span lang=""ja"">和尚</span></b><br>nhà sư, hòa thượng</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 和尚さんに話す：nói với nhà sư</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">村人は和尚さんに相談しました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">むらびとはおしょうさんにそうだんしました。</div></details><div style=""font-size:17px;margin-top:4px"">Dân làng đã bàn chuyện với nhà sư.</div></div><div style=""font-size:16px;border-top:1px dashed #8887;padding-top:12px""><b>Lưu ý:</b> Đọc おしょう theo ngữ cảnh giáo trình.</div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17 Co_luu_y
"<span lang=""ja"" style=""font-size:32px"">わいわい</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div lang=""ja"" style=""font-size:26px;font-weight:600"">わいわい</div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[Adv] <span lang=""ja"">わいわい</span></b><br>ồn ào, rôm rả (nhiều người)</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. わいわい（と）＋V：làm ồn ào/rôm rả</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">みんなでわいわい話しています。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">みんなでわいわいはなしています。</div></details><div style=""font-size:17px;margin-top:4px"">Mọi người đang trò chuyện rôm rả.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
"<span lang=""ja"" style=""font-size:32px"">やって来る</span>"	"<div style=""text-align:left;max-width:680px;margin:0 auto;line-height:1.65;font-size:19px""><div style=""font-size:26px;margin-bottom:8px;display:flex;justify-content:space-between;align-items:center;""><span lang=""ja"" style=""font-weight:600;"">やってくる</span><span style=""opacity:.68"">LAI</span></div><div style=""margin-top:14px""><div style=""margin:7px 0""><b>[V] <span lang=""ja"">やって来る</span></b><br>đến, xuất hiện ở chỗ người nói/điểm nhìn</div></div><hr style=""border:0;border-top:1px solid #8886;margin:18px 0""><div style=""font-size:15px;font-weight:bold;opacity:.72"">MẪU DÙNG &amp; CỤM KẾT HỢP</div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>1. 場所にやって来る：đến nơi nào</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">友達が家にやって来ました。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">ともだちがいえにやってきました。</div></details><div style=""font-size:17px;margin-top:4px"">Bạn tôi đã đến nhà.</div></div><div style=""margin:15px 0;padding:0 0 0 12px;border-left:3px solid #8887""><div style=""font-size:17px""><b>2. 季節がやって来る：mùa đến</b></div><div lang=""ja"" style=""font-size:22px;margin-top:6px"">もうすぐ春がやって来ます。</div><details style=""font-size:16px;opacity:.8""><summary style=""cursor:pointer"">Cách đọc câu</summary><div lang=""ja"">もうすぐはるがやってきます。</div></details><div style=""font-size:17px;margin-top:4px"">Mùa xuân sắp đến.</div></div><div style=""font-size:12px;opacity:.58;margin-top:18px"">Dekiru Chūkyū · Bài 9 · trang 17<br>Từ gốc theo tài liệu; nghĩa được biên tập. Mẫu dùng và ví dụ do trợ lý bổ sung.</div></div>"	Dekiru_Chukyu Dekiru::Bai_09 Nguon::Trang_17
